Data,Último
24.02.2021,115.668
23.02.2021,115.227
22.02.2021,112.668
19.02.2021,118.431
18.02.2021,119.199
17.02.2021,120.356
12.02.2021,119.429
11.02.2021,119.3
10.02.2021,118.435
09.02.2021,119.472
08.02.2021,119.696
05.02.2021,120.24
04.02.2021,119.261
03.02.2021,119.725
02.02.2021,118.234
01.02.2021,117.518
29.01.2021,115.068
28.01.2021,118.883
27.01.2021,115.882
26.01.2021,116.464
22.01.2021,117.38
21.01.2021,118.329
20.01.2021,119.646
19.01.2021,120.636
18.01.2021,121.242
15.01.2021,120.349
14.01.2021,123.481
13.01.2021,121.933
12.01.2021,123.998
11.01.2021,123.255
08.01.2021,125.077
07.01.2021,122.386
06.01.2021,119.1
05.01.2021,119.376
04.01.2021,118.855
30.12.2020,119.017
29.12.2020,119.409
28.12.2020,119.124
23.12.2020,117.807
22.12.2020,116.636
21.12.2020,115.823
18.12.2020,118.024
17.12.2020,118.401
16.12.2020,117.857
15.12.2020,116.149
14.12.2020,114.611
11.12.2020,115.128
10.12.2020,115.129
09.12.2020,113.001
08.12.2020,113.793
07.12.2020,113.59
04.12.2020,113.75
03.12.2020,112.292
02.12.2020,111.879
01.12.2020,111.4
30.11.2020,108.893
27.11.2020,110.575
26.11.2020,110.227
25.11.2020,110.133
24.11.2020,109.786
23.11.2020,107.379
20.11.2020,106.042
19.11.2020,106.67
18.11.2020,106.119
17.11.2020,107.249
16.11.2020,106.43
13.11.2020,104.723
12.11.2020,102.507
11.11.2020,104.809
10.11.2020,105.067
09.11.2020,103.515
06.11.2020,100.925
05.11.2020,100.751
04.11.2020,97.867
03.11.2020,95.98
30.10.2020,93.952
29.10.2020,96.582
28.10.2020,95.369
27.10.2020,99.606
26.10.2020,101.017
23.10.2020,101.26
22.10.2020,101.918
21.10.2020,100.552
20.10.2020,100.54
19.10.2020,98.658
16.10.2020,98.309
15.10.2020,99.054
14.10.2020,99.334
13.10.2020,98.503
09.10.2020,97.483
08.10.2020,97.92
07.10.2020,95.526
06.10.2020,95.615
05.10.2020,96.089
02.10.2020,94.016
01.10.2020,95.479
30.09.2020,94.603
29.09.2020,93.58
28.09.2020,94.666
25.09.2020,96.999
24.09.2020,97.012
23.09.2020,95.735
22.09.2020,97.294
21.09.2020,96.991
18.09.2020,98.29
17.09.2020,100.098
16.09.2020,99.676
15.09.2020,100.298
14.09.2020,100.275
11.09.2020,98.363
10.09.2020,98.835
09.09.2020,101.292
08.09.2020,100.05
04.09.2020,101.242
03.09.2020,100.721
02.09.2020,101.911
01.09.2020,102.168
31.08.2020,99.369
28.08.2020,102.143
27.08.2020,100.624
26.08.2020,100.627
25.08.2020,102.118
24.08.2020,102.298
21.08.2020,101.521
20.08.2020,101.468
19.08.2020,100.854
18.08.2020,102.065
17.08.2020,99.595
14.08.2020,101.353
13.08.2020,100.461
12.08.2020,102.118
11.08.2020,102.174
10.08.2020,103.444
07.08.2020,102.776
06.08.2020,104.126
05.08.2020,102.802
04.08.2020,101.216
03.08.2020,102.83
31.07.2020,102.912
30.07.2020,105.009
29.07.2020,105.605
28.07.2020,104.109
27.07.2020,104.477
24.07.2020,102.382
23.07.2020,102.293
22.07.2020,104.29
21.07.2020,104.31
20.07.2020,104.426
17.07.2020,102.888
16.07.2020,100.553
15.07.2020,101.791
14.07.2020,100.44
13.07.2020,98.697
10.07.2020,100.032
09.07.2020,99.16
08.07.2020,99.77
07.07.2020,97.761
06.07.2020,98.937
03.07.2020,96.765
02.07.2020,96.235
01.07.2020,96.203
30.06.2020,95.056
29.06.2020,95.735
26.06.2020,93.834
25.06.2020,95.983
24.06.2020,94.377
23.06.2020,95.975
22.06.2020,95.336
19.06.2020,96.572
18.06.2020,96.125
17.06.2020,95.547
16.06.2020,93.531
15.06.2020,92.376
12.06.2020,92.795
10.06.2020,94.686
09.06.2020,96.747
08.06.2020,97.645
05.06.2020,94.637
04.06.2020,93.829
03.06.2020,93.002
02.06.2020,91.046
01.06.2020,88.62
29.05.2020,87.403
28.05.2020,86.949
27.05.2020,87.946
26.05.2020,85.469
25.05.2020,85.663
22.05.2020,82.173
21.05.2020,83.027
20.05.2020,81.319
19.05.2020,80.742
18.05.2020,81.194
15.05.2020,77.557
14.05.2020,79.011
13.05.2020,77.772
12.05.2020,77.872
11.05.2020,79.065
08.05.2020,80.263
07.05.2020,78.119
06.05.2020,79.064
05.05.2020,79.471
04.05.2020,78.876
30.04.2020,80.506
29.04.2020,83.171
28.04.2020,81.312
27.04.2020,78.239
24.04.2020,75.331
23.04.2020,79.673
22.04.2020,80.687
20.04.2020,78.973
17.04.2020,78.99
16.04.2020,77.812
15.04.2020,78.831
14.04.2020,79.918
13.04.2020,78.836
09.04.2020,77.682
08.04.2020,78.625
07.04.2020,76.358
06.04.2020,74.073
03.04.2020,69.538
02.04.2020,72.253
01.04.2020,70.967
31.03.2020,73.02
30.03.2020,74.639
27.03.2020,73.429
26.03.2020,77.71
25.03.2020,74.956
24.03.2020,69.729
23.03.2020,63.57
20.03.2020,67.069
19.03.2020,68.332
18.03.2020,66.895
17.03.2020,74.617
16.03.2020,71.168
13.03.2020,82.678
12.03.2020,72.583
11.03.2020,85.171
10.03.2020,92.214
09.03.2020,86.067
06.03.2020,97.997
05.03.2020,102.233
04.03.2020,107.224
03.03.2020,105.537
02.03.2020,106.625
28.02.2020,104.172
27.02.2020,102.984
26.02.2020,105.718
21.02.2020,113.681
20.02.2020,114.586
19.02.2020,116.518
18.02.2020,114.977
17.02.2020,115.309
14.02.2020,114.381
13.02.2020,115.662
12.02.2020,116.674
11.02.2020,115.371
10.02.2020,112.57
07.02.2020,113.77
06.02.2020,115.19
05.02.2020,116.028
04.02.2020,115.557
03.02.2020,114.629
31.01.2020,113.761
30.01.2020,115.528
29.01.2020,115.385
28.01.2020,116.479
27.01.2020,114.482
24.01.2020,118.376
23.01.2020,119.528
22.01.2020,118.391
21.01.2020,117.026
20.01.2020,118.862
17.01.2020,118.478
16.01.2020,116.704
15.01.2020,116.414
14.01.2020,117.632
13.01.2020,117.325
10.01.2020,115.503
09.01.2020,115.947
08.01.2020,116.247
07.01.2020,116.662
06.01.2020,116.878
03.01.2020,117.707
02.01.2020,118.573
30.12.2019,115.645
27.12.2019,116.534
26.12.2019,117.203
23.12.2019,115.863
20.12.2019,115.121
19.12.2019,115.131
18.12.2019,114.315
17.12.2019,112.616
16.12.2019,111.896
13.12.2019,112.565
12.12.2019,112.2
11.12.2019,110.964
10.12.2019,110.672
09.12.2019,110.977
06.12.2019,111.126
05.12.2019,110.622
04.12.2019,110.301
03.12.2019,108.956
02.12.2019,108.928
29.11.2019,108.233
28.11.2019,108.29
27.11.2019,107.708
26.11.2019,107.059
25.11.2019,108.424
22.11.2019,108.692
21.11.2019,107.497
19.11.2019,105.864
18.11.2019,106.269
14.11.2019,106.557
13.11.2019,106.06
12.11.2019,106.751
11.11.2019,108.367
08.11.2019,107.629
07.11.2019,109.581
06.11.2019,108.36
05.11.2019,108.719
04.11.2019,108.779
01.11.2019,108.196
31.10.2019,107.22
30.10.2019,108.408
29.10.2019,107.556
28.10.2019,108.187
25.10.2019,107.364
24.10.2019,106.986
23.10.2019,107.544
22.10.2019,107.381
21.10.2019,106.022
18.10.2019,104.729
17.10.2019,105.016
16.10.2019,105.423
15.10.2019,104.49
14.10.2019,104.302
11.10.2019,103.832
10.10.2019,101.817
09.10.2019,101.249
08.10.2019,99.981
07.10.2019,100.573
04.10.2019,102.551
03.10.2019,101.516
02.10.2019,101.031
01.10.2019,104.053
30.09.2019,104.745
27.09.2019,105.078
26.09.2019,105.319
25.09.2019,104.481
24.09.2019,103.876
23.09.2019,104.638
20.09.2019,104.817
19.09.2019,104.339
18.09.2019,104.532
17.09.2019,104.617
16.09.2019,103.68
13.09.2019,103.501
12.09.2019,104.371
11.09.2019,103.446
10.09.2019,103.032
09.09.2019,103.181
06.09.2019,102.935
05.09.2019,102.243
04.09.2019,101.201
03.09.2019,99.681
02.09.2019,100.626
30.08.2019,101.135
29.08.2019,100.524
28.08.2019,98.194
27.08.2019,97.276
26.08.2019,96.43
23.08.2019,97.667
22.08.2019,100.011
21.08.2019,101.202
20.08.2019,99.222
19.08.2019,99.469
16.08.2019,99.806
15.08.2019,99.057
14.08.2019,100.258
13.08.2019,103.299
12.08.2019,101.915
09.08.2019,103.996
08.08.2019,104.115
07.08.2019,102.782
06.08.2019,102.164
05.08.2019,100.098
02.08.2019,102.674
01.08.2019,102.126
31.07.2019,101.812
30.07.2019,102.933
29.07.2019,103.483
26.07.2019,102.819
25.07.2019,102.655
24.07.2019,104.12
23.07.2019,103.704
22.07.2019,103.949
19.07.2019,103.452
18.07.2019,104.717
17.07.2019,103.856
16.07.2019,103.775
15.07.2019,103.803
12.07.2019,103.906
11.07.2019,105.146
10.07.2019,105.817
08.07.2019,104.53
05.07.2019,104.089
04.07.2019,103.636
03.07.2019,102.043
02.07.2019,100.605
01.07.2019,101.34
28.06.2019,100.967
27.06.2019,100.724
26.06.2019,100.689
25.06.2019,100.093
24.06.2019,102.062
21.06.2019,102.013
19.06.2019,100.303
18.06.2019,99.404
17.06.2019,97.623
14.06.2019,98.04
13.06.2019,98.774
12.06.2019,98.321
11.06.2019,98.96
10.06.2019,97.467
07.06.2019,97.821
06.06.2019,97.205
05.06.2019,95.999
